artist,song,section,url,chord_progression
Savant,Prelude,Chorus,http://www.hooktheory.com/theorytab/view/savant/prelude#chorus,"4,47,5,6"
Nelly Furtado,Promiscuous ft Timbaland,Chorus,http://www.hooktheory.com/theorytab/view/nelly-furtado/promiscuous-ft-timbaland#chorus,"4,47,2,6"
Nintendo,Tetris Attack - Forest World,Pre-Chorus,http://www.hooktheory.com/theorytab/view/nintendo/tetris-attack---forest-world#pre-chorus,"4,47,2,6"
Jake Kaufman,Shovel Knight - The Defender,Verse,http://www.hooktheory.com/theorytab/view/jake-kaufman/shovel-knight---the-defender#verse,"4,47,2,27"
CBoyardee,Dilbert 2 - Renard - Killers MP3,Verse,http://www.hooktheory.com/theorytab/view/cboyardee/dilbert-2---renard---killers-mp3#verse,"4,47,3,2"
Mandy Moore,Only Hope,Chorus Lead-Out,http://www.hooktheory.com/theorytab/view/mandy-moore/only-hope#chorus-lead-out,"4,67,4,6"
Luna Umegaki,Mega Man Zero 4 - Esperanto,Intro and Verse,http://www.hooktheory.com/theorytab/view/luna-umegaki/mega-man-zero-4---esperanto#intro-and-verse,"4,67,4,6"
Tamurapan,Koko Kyousougiga--OP 2,Chorus,http://www.hooktheory.com/theorytab/view/tamurapan/koko-kyousougiga--op-2#chorus,"4,67,4,5"
Echosmith,Bright,Pre-Chorus,http://www.hooktheory.com/theorytab/view/echosmith/bright#pre-chorus,"4,67,4,5"
Radiohead,Nude,Verse,http://www.hooktheory.com/theorytab/view/radiohead/nude#verse,"4,67,4,3"
Hiroki Inui,Blue Comet SPT Layzner - SPT,Chorus,http://www.hooktheory.com/theorytab/view/hiroki-inui/blue-comet-spt-layzner---spt#chorus,"4,67,4,27"
Michael Cassette,Memories - 90s Piano Mix,Chorus,http://www.hooktheory.com/theorytab/view/michael-cassette/memories---90s-piano-mix#chorus,"4,67,4,67"
Notorious BIG,Sky's The Limit,Instrumental,http://www.hooktheory.com/theorytab/view/notorious-big/skys-the-limit#instrumental,"4,67,4,67"
Aspekt,Hi Jack,Chorus,http://www.hooktheory.com/theorytab/view/aspekt/hi-jack#chorus,"4,67,4,67"
High School Musical,Start of Something New,Bridge,http://www.hooktheory.com/theorytab/view/high-school-musical/start-of-something-new#bridge,"4,67,5,1"
LMFAO,Party Rock Anthem,Intro and Verse,http://www.hooktheory.com/theorytab/view/lmfao/party-rock-anthem#intro-and-verse,"4,67,5,4"
Ne-Yo,Let Me Love You,Verse,http://www.hooktheory.com/theorytab/view/ne-yo/let-me-love-you#verse,"4,67,5,4"
Regina Spektor,Eet,Chorus,http://www.hooktheory.com/theorytab/view/regina-spektor/eet#chorus,"4,67,5,4"
Luke Bryan,Beer In The Headlights,Chorus,http://www.hooktheory.com/theorytab/view/luke-bryan/beer-in-the-headlights#chorus,"4,67,5,4"
GnG and Dave Darell,Paper Cuts,Chorus,http://www.hooktheory.com/theorytab/view/gng-and-dave-darell/paper-cuts#chorus,"4,67,5,4"
Quinton Barnes,Running Back To You,Chorus,http://www.hooktheory.com/theorytab/view/quinton-barnes/running-back-to-you#chorus,"4,67,5,4"
Gareth Emery,Metropolis,Chorus,http://www.hooktheory.com/theorytab/view/gareth-emery/metropolis#chorus,"4,67,5,4"
Justin Bieber,Sorry,Chorus,http://www.hooktheory.com/theorytab/view/justin-bieber/sorry#chorus,"4,67,5,4"
Justin Bieber,Sorry,Pre-Chorus,http://www.hooktheory.com/theorytab/view/justin-bieber/sorry#pre-chorus,"4,67,5,4"
Nathan Ford,For Better Or Worse - Regret,Chorus,http://www.hooktheory.com/theorytab/view/nathan-ford/for-better-or-worse---regret#chorus,"4,67,5,4"
Daft Punk,New Untitled Song,Intro,http://www.hooktheory.com/theorytab/view/daft-punk/new-untitled-song#intro,"4,67,5,2"
Jungle,The Heat,Chorus,http://www.hooktheory.com/theorytab/view/jungle/the-heat#chorus,"4,67,5,2"
Corona,Rhythm Of The Night,Chorus,http://www.hooktheory.com/theorytab/view/corona/rhythm-of-the-night#chorus,"4,67,5,2"
Seven Lions,Days to Come ft Fiora,Chorus,http://www.hooktheory.com/theorytab/view/seven-lions/days-to-come-ft-fiora#chorus,"4,67,5,2"
Porter Robinson,Language,Chorus,http://www.hooktheory.com/theorytab/view/porter-robinson/language#chorus,"4,67,5,3"
Porter Robinson,Language,Chorus Lead-Out,http://www.hooktheory.com/theorytab/view/porter-robinson/language#chorus-lead-out,"4,67,5,3"
Kimbra,Warrior,Intro,http://www.hooktheory.com/theorytab/view/kimbra/warrior#intro,"4,67,5,3"
Girls' Generation,Genie,Chorus,http://www.hooktheory.com/theorytab/view/girls-generation/genie#chorus,"4,67,5,27"
The Four Seasons,December 1963 - Oh What a Night,Pre-Chorus,http://www.hooktheory.com/theorytab/view/the-four-seasons/december-1963---oh-what-a-night#pre-chorus,"4,67,5,27"
Daft Punk,Get Lucky,Outro,http://www.hooktheory.com/theorytab/view/daft-punk/get-lucky#outro,"4,67,5,27"
Daft Punk,Get Lucky,Verse,http://www.hooktheory.com/theorytab/view/daft-punk/get-lucky#verse,"4,67,5,27"
Daft Punk,Get Lucky,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/daft-punk/get-lucky#pre-chorus-and-chorus,"4,67,5,27"
Astronaut,Quantum - Virtual Riot Remix,Chorus,http://www.hooktheory.com/theorytab/view/astronaut/quantum---virtual-riot-remix#chorus,"4,67,5,27"
Store N Forward,Donut,Chorus,http://www.hooktheory.com/theorytab/view/store-n-forward/donut#chorus,"4,67,5,27"
Tom Swoon,Wings - Myon and Shane 54 Summer of Love Mix,Chorus,http://www.hooktheory.com/theorytab/view/tom-swoon/wings---myon-and-shane-54-summer-of-love-mix#chorus,"4,67,5,27"
Audien,Hindsight,Verse,http://www.hooktheory.com/theorytab/view/audien/hindsight#verse,"4,67,5,27"
Carly Rae Jepsen,Run Away With Me,Chorus,http://www.hooktheory.com/theorytab/view/carly-rae-jepsen/run-away-with-me#chorus,"4,67,5,27"
Odesza,Say My Name ft Zyra,Chorus,http://www.hooktheory.com/theorytab/view/odesza/say-my-name-ft-zyra#chorus,"4,67,5,27"
Noonie Bao,Pyramids,Chorus,http://www.hooktheory.com/theorytab/view/noonie-bao/pyramids#chorus,"4,67,5,27"
Carly Rae Jepsen,Run Away With Me,Intro,http://www.hooktheory.com/theorytab/view/carly-rae-jepsen/run-away-with-me#intro,"4,67,5,27"
Carly Rae Jepsen,Run Away With Me,Verse,http://www.hooktheory.com/theorytab/view/carly-rae-jepsen/run-away-with-me#verse,"4,67,5,27"
Carly Rae Jepsen,Run Away With Me,Pre-Chorus,http://www.hooktheory.com/theorytab/view/carly-rae-jepsen/run-away-with-me#pre-chorus,"4,67,5,27"
Phoenix,Lisztomania,Verse,http://www.hooktheory.com/theorytab/view/phoenix/lisztomania#verse,"4,67,5,16"
Madeon,Pay No Mind ft Passion Pit,Chorus,http://www.hooktheory.com/theorytab/view/madeon/pay-no-mind-ft-passion-pit#chorus,"4,67,5,16"
GnG and Dave Darell,Paper Cuts,Intro,http://www.hooktheory.com/theorytab/view/gng-and-dave-darell/paper-cuts#intro,"4,67,5,16"
Paul McCartney - Michael Jackson,Say Say Say,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/paul-mccartney---michael-jackson/say-say-say#verse-and-pre-chorus,"4,67,27,4"
Onyanko Club,Kaiinbango no Uta,Chorus,http://www.hooktheory.com/theorytab/view/onyanko-club/kaiinbango-no-uta#chorus,"4,16,1,2"
Sia,Burn the Pages,Chorus,http://www.hooktheory.com/theorytab/view/sia/burn-the-pages#chorus,"4,16,1,16"
Jimi Hendrix,Bold as love,Intro and Verse,http://www.hooktheory.com/theorytab/view/jimi-hendrix/bold-as-love#intro-and-verse,"4,16,4,1"
Billy Joel,Allentown,Intro,http://www.hooktheory.com/theorytab/view/billy-joel/allentown#intro,"4,16,4,1"
Elton John,Can You Feel the Love Tonight,Verse,http://www.hooktheory.com/theorytab/view/elton-john/can-you-feel-the-love-tonight#verse,"4,16,4,6"
Sandra,Around My Heart,Chorus,http://www.hooktheory.com/theorytab/view/sandra/around-my-heart#chorus,"4,16,4,5"
Hamilton Joe Frank and Reynolds,Don't Pull Your Love,Chorus,http://www.hooktheory.com/theorytab/view/hamilton-joe-frank-and-reynolds/dont-pull-your-love#chorus,"4,16,4,5"
Le Vent du Nord,Rosette,Verse,http://www.hooktheory.com/theorytab/view/le-vent-du-nord/rosette#verse,"4,16,4,5"
Weezer,Falling For You,Solo,http://www.hooktheory.com/theorytab/view/weezer/falling-for-you#solo,"4,16,4,2"
Nintendo,Title Theme - Zelda Spirit Tracks,Pre-Chorus,http://www.hooktheory.com/theorytab/view/nintendo/title-theme---zelda-spirit-tracks#pre-chorus,"4,16,4,3"
Coldplay,Every Teardrop Is A Waterfall,Verse,http://www.hooktheory.com/theorytab/view/coldplay/every-teardrop-is-a-waterfall#verse,"4,16,4,16"
They Might Be Giants,Museum Of Idiots,Verse,http://www.hooktheory.com/theorytab/view/they-might-be-giants/museum-of-idiots#verse,"4,16,4,16"
The Beach Boys,God Only Knows,Intro and Verse,http://www.hooktheory.com/theorytab/view/the-beach-boys/god-only-knows#intro-and-verse,"4,16,4,16"
Enya,Anywhere Is,Verse,http://www.hooktheory.com/theorytab/view/enya/anywhere-is#verse,"4,16,4,16"
Kwan Hendry and SoulCream,Don't Give Up - Nause Remix,Chorus,http://www.hooktheory.com/theorytab/view/kwan-hendry-and-soulcream/dont-give-up---nause-remix#chorus,"4,16,4,16"
Devin Townsend,True North,Intro,http://www.hooktheory.com/theorytab/view/devin-townsend/true-north#intro,"4,16,4,16"
Noriko Matsueda,Besaid,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/noriko-matsueda/besaid#pre-chorus-and-chorus,"4,16,4,16"
The Shins,Simple Song,Verse,http://www.hooktheory.com/theorytab/view/the-shins/simple-song#verse,"4,16,4,16"
O-Town,All Or Nothing,Chorus,http://www.hooktheory.com/theorytab/view/o-town/all-or-nothing#chorus,"4,16,5,1"
Queen,Somebody To Love,Intro,http://www.hooktheory.com/theorytab/view/queen/somebody-to-love#intro,"4,16,5,1"
Stars,Ageless Beauty,Verse,http://www.hooktheory.com/theorytab/view/stars/ageless-beauty#verse,"4,16,5,1"
Coldplay,Fix You,Chorus,http://www.hooktheory.com/theorytab/view/coldplay/fix-you#chorus,"4,16,5,4"
Teenage Mutant Ninja Turtles,Pizza Power,Verse,http://www.hooktheory.com/theorytab/view/teenage-mutant-ninja-turtles/pizza-power#verse,"4,16,5,4"
Rend Collective,Movements,Chorus,http://www.hooktheory.com/theorytab/view/rend-collective/movements#chorus,"4,16,5,4"
Robin Schulz,Headlights,Chorus,http://www.hooktheory.com/theorytab/view/robin-schulz/headlights#chorus,"4,16,5,4"
MisterWives,Reflections,Chorus,http://www.hooktheory.com/theorytab/view/misterwives/reflections#chorus,"4,16,5,4"
Ellie Goulding,Burn,Intro,http://www.hooktheory.com/theorytab/view/ellie-goulding/burn#intro,"4,16,5,6"
Steerner and Dszako,Why Do You Love Me,Chorus,http://www.hooktheory.com/theorytab/view/steerner-and-dszako/why-do-you-love-me#chorus,"4,16,5,6"
Fanta Idol,Fanta Time,Chorus,http://www.hooktheory.com/theorytab/view/fanta-idol/fanta-time#chorus,"4,16,5,6"
Sonny Rhodes,Firefly Theme - Ballad Of Serenity,Verse,http://www.hooktheory.com/theorytab/view/sonny-rhodes/firefly-theme---ballad-of-serenity#verse,"4,16,5,2"
Jason Derulo,Ridin' Solo,Intro,http://www.hooktheory.com/theorytab/view/jason-derulo/ridin-solo#intro,"4,16,5,2"
Porter Robinson,Fresh Static Snow,Verse,http://www.hooktheory.com/theorytab/view/porter-robinson/fresh-static-snow#verse,"4,16,5,67"
Elton John,Tiny Dancer,Chorus,http://www.hooktheory.com/theorytab/view/elton-john/tiny-dancer#chorus,"4,16,5,16"
Game Freak,VS Colress - Pokemon Black and White 2,Outro 1,http://www.hooktheory.com/theorytab/view/game-freak/vs-colress---pokemon-black-and-white-2#outro-1,"4,16,2,4"
Game Freak,Slateport City,Intro,http://www.hooktheory.com/theorytab/view/game-freak/slateport-city#intro,"4,16,2,4"
The Antlers,Sylvia,Pre-Chorus,http://www.hooktheory.com/theorytab/view/the-antlers/sylvia#pre-chorus,"4,16,2,4"
Peacetreaty Singularity Remix,In Time,Pre-Chorus,http://www.hooktheory.com/theorytab/view/peacetreaty-singularity-remix/in-time#pre-chorus,"4,16,2,4"
Nitro Fun,Safe and Sound,Bridge,http://www.hooktheory.com/theorytab/view/nitro-fun/safe-and-sound#bridge,"4,16,2,6"
Joe Hisaishi,Path Of The Wind - Totoro,Verse,http://www.hooktheory.com/theorytab/view/joe-hisaishi/path-of-the-wind---totoro#verse,"4,16,2,3"
Carrie Underwood,All American Girl,Chorus,http://www.hooktheory.com/theorytab/view/carrie-underwood/all-american-girl#chorus,"4,16,2,16"
Carrie Underwood,All American Girl,Pre-Chorus,http://www.hooktheory.com/theorytab/view/carrie-underwood/all-american-girl#pre-chorus,"4,16,2,16"
Carrie Underwood,All American Girl,Verse,http://www.hooktheory.com/theorytab/view/carrie-underwood/all-american-girl#verse,"4,16,2,16"
Nobuo Uematsu,Final Fantasy IV Battle Theme,Verse,http://www.hooktheory.com/theorytab/view/nobuo-uematsu/final-fantasy-iv-battle-theme#verse,"4,16,2,16"
Fleetwood Mac,Landslide,Verse,http://www.hooktheory.com/theorytab/view/fleetwood-mac/landslide#verse,"4,16,2,16"
Shizen-no-Teki-P Jin LiSA,Yuukei Yesterday,Intro,http://www.hooktheory.com/theorytab/view/shizen-no-teki-p-jin-lisa/yuukei-yesterday#intro,"4,16,3,67"
Ikimono Gakari,Naruto Opening Bluebird,Verse,http://www.hooktheory.com/theorytab/view/ikimono-gakari/naruto-opening-bluebird#verse,"4,16,27,1"
Deitrick Haddon,He's Able,Chorus,http://www.hooktheory.com/theorytab/view/deitrick-haddon/hes-able#chorus,"4,16,27,1"
Guang Liang,Tong Hua,Chorus,http://www.hooktheory.com/theorytab/view/guang-liang/tong-hua#chorus,"4,16,27,1"
Radiohead,Paranoid Android,Bridge,http://www.hooktheory.com/theorytab/view/radiohead/paranoid-android#bridge,"4,16,27,1"
Hall and Oates,Rich Girl,Chorus,http://www.hooktheory.com/theorytab/view/hall-and-oates/rich-girl#chorus,"4,16,27,1"
Don McLean,American Pie,Pre-Chorus,http://www.hooktheory.com/theorytab/view/don-mclean/american-pie#pre-chorus,"4,16,27,4"
Nitro Fun and Hyper Potions,Checkpoint,Outro,http://www.hooktheory.com/theorytab/view/nitro-fun-and-hyper-potions/checkpoint#outro,"4,16,27,4"
Pink Floyd,Comfortably Numb,Verse,http://www.hooktheory.com/theorytab/view/pink-floyd/comfortably-numb#verse,"4,16,27,6"
John Williams,Carol Of The Bells,Verse,http://www.hooktheory.com/theorytab/view/john-williams/carol-of-the-bells#verse,"4,16,27,6"
Bowling for Soup,Phineas And Ferb Theme Song,Intro,http://www.hooktheory.com/theorytab/view/bowling-for-soup/phineas-and-ferb-theme-song#intro,"4,16,27,6"
Kenshi Yonezu,Wooden Doll,Pre-Chorus,http://www.hooktheory.com/theorytab/view/kenshi-yonezu/wooden-doll#pre-chorus,"4,16,27,6"
Mat Zo,Frequency Flyer,Instrumental,http://www.hooktheory.com/theorytab/view/mat-zo/frequency-flyer#instrumental,"4,16,27,67"
Wally Badarou,The Dachstein Angels,Chorus,http://www.hooktheory.com/theorytab/view/wally-badarou/the-dachstein-angels#chorus,"4,16,27,16"
Hiroshi Miyagawa,Space Battleship Yamato Theme,Intro,http://www.hooktheory.com/theorytab/view/hiroshi-miyagawa/space-battleship-yamato-theme#intro,"4,16,27,16"
Nintendo,Wii Sports Theme,Verse,http://www.hooktheory.com/theorytab/view/nintendo/wii-sports-theme#verse,"4,16,67,5"
Madeon,The City,Chorus,http://www.hooktheory.com/theorytab/view/madeon/the-city#chorus,"4,16,67,27"
Jack Johnson,Flake,Verse,http://www.hooktheory.com/theorytab/view/jack-johnson/flake#verse,"6,1,4,1"
Gwen Stefani,4 In the morning,Instrumental,http://www.hooktheory.com/theorytab/view/gwen-stefani/4-in-the-morning#instrumental,"6,1,4,1"
Frederic Chopin,Nocturne 1 in Bb minor,Verse,http://www.hooktheory.com/theorytab/view/frederic-chopin/nocturne-1-in-bb-minor#verse,"6,1,4,1"
Eric Whitacre,Sleep,Verse,http://www.hooktheory.com/theorytab/view/eric-whitacre/sleep#verse,"6,1,4,1"
The Antlers,Sylvia,Intro and Verse,http://www.hooktheory.com/theorytab/view/the-antlers/sylvia#intro-and-verse,"6,1,4,1"
The Cure,Lovesong,Chorus,http://www.hooktheory.com/theorytab/view/the-cure/lovesong#chorus,"6,1,4,5"
Brad Breek,Gravity Falls Title Theme,Instrumental,http://www.hooktheory.com/theorytab/view/brad-breek/gravity-falls-title-theme#instrumental,"6,1,4,5"
Sex Whales,Rainbow,Intro,http://www.hooktheory.com/theorytab/view/sex-whales/rainbow#intro,"6,1,4,5"
Toru Minegishi,Tokimeki Bomb Rush,Chorus,http://www.hooktheory.com/theorytab/view/toru-minegishi/tokimeki-bomb-rush#chorus,"6,1,4,5"
Sbtrkt,Trails Of The Past,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/sbtrkt/trails-of-the-past#pre-chorus-and-chorus,"6,1,4,2"
BBC National Orchestra of Wales,Doctor Who - Doomsday,Intro,http://www.hooktheory.com/theorytab/view/bbc-national-orchestra-of-wales/doctor-who---doomsday#intro,"6,1,4,2"
Kongos,Come With Me Now,Intro,http://www.hooktheory.com/theorytab/view/kongos/come-with-me-now#intro,"6,1,6,1"
The Beatles,All I've Got To Do,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/all-ive-got-to-do#verse,"6,1,6,2"
PIXL,Sugar Rush,Chorus,http://www.hooktheory.com/theorytab/view/pixl/sugar-rush#chorus,"6,1,6,2"
Garbage,Special,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/garbage/special#verse-and-pre-chorus,"6,1,6,2"
Avicii,The Days,Outro,http://www.hooktheory.com/theorytab/view/avicii/the-days#outro,"6,1,5,1"
Twinklestars,Rapikamu,Chorus,http://www.hooktheory.com/theorytab/view/twinklestars/rapikamu#chorus,"6,1,5,1"
Simon and Garfunkel,Bridge over Troubled Water,Chorus,http://www.hooktheory.com/theorytab/view/simon-and-garfunkel/bridge-over-troubled-water#chorus,"6,1,5,4"
OneRepublic,Counting Stars,Intro and Verse,http://www.hooktheory.com/theorytab/view/onerepublic/counting-stars#intro-and-verse,"6,1,5,4"
OneRepublic,Counting Stars,Intro,http://www.hooktheory.com/theorytab/view/onerepublic/counting-stars#intro,"6,1,5,4"
Pitbull feat Kesha,Timber,Intro,http://www.hooktheory.com/theorytab/view/pitbull-feat-kesha/timber#intro,"6,1,5,4"
Krewella,Alive,Chorus,http://www.hooktheory.com/theorytab/view/krewella/alive#chorus,"6,1,5,4"
The Who,Behind Blue Eyes,Verse,http://www.hooktheory.com/theorytab/view/the-who/behind-blue-eyes#verse,"6,1,5,4"
Styles and Breeze,You're Shining,Chorus,http://www.hooktheory.com/theorytab/view/styles-and-breeze/youre-shining#chorus,"6,1,5,4"
Quinton Barnes,There's No You,Chorus,http://www.hooktheory.com/theorytab/view/quinton-barnes/theres-no-you#chorus,"6,1,5,4"
Noma,Brain Power,Verse,http://www.hooktheory.com/theorytab/view/noma/brain-power#verse,"6,1,5,4"
TI,Dead and Gone ft Justin Timberlake,Chorus,http://www.hooktheory.com/theorytab/view/ti/dead-and-gone-ft-justin-timberlake#chorus,"6,1,5,4"
Pink Floyd,Time,Verse,http://www.hooktheory.com/theorytab/view/pink-floyd/time#verse,"6,1,5,6"
The Begging Sea,All We've Got,Verse,http://www.hooktheory.com/theorytab/view/the-begging-sea/all-weve-got#verse,"6,1,5,6"
Madonna,La Isla Bonita,Verse,http://www.hooktheory.com/theorytab/view/madonna/la-isla-bonita#verse,"6,1,5,6"
Sarah McLachlan,Adia,Bridge,http://www.hooktheory.com/theorytab/view/sarah-mclachlan/adia#bridge,"6,1,5,6"
Dolly Parton,Jolene,Chorus,http://www.hooktheory.com/theorytab/view/dolly-parton/jolene#chorus,"6,1,5,6"
Gill Norris,Forme - Guy J PM Mix,Chorus,http://www.hooktheory.com/theorytab/view/gill-norris/forme---guy-j-pm-mix#chorus,"6,1,5,6"
Miley Cyrus,Jolene,Intro,http://www.hooktheory.com/theorytab/view/miley-cyrus/jolene#intro,"6,1,5,6"
Flo Rida,Right Round feat Kesha,Chorus,http://www.hooktheory.com/theorytab/view/flo-rida/right-round-feat-kesha#chorus,"6,1,5,6"
Tool,Aenima,Chorus,http://www.hooktheory.com/theorytab/view/tool/aenima#chorus,"6,1,5,6"
Astronaut,Feronia feat Danyka Nadeau,Intro and Verse,http://www.hooktheory.com/theorytab/view/astronaut/feronia-feat-danyka-nadeau#intro-and-verse,"6,1,5,6"
Tenacious D,Classico,Verse,http://www.hooktheory.com/theorytab/view/tenacious-d/classico#verse,"6,1,5,6"
Nightwish,Ever Dream,Intro,http://www.hooktheory.com/theorytab/view/nightwish/ever-dream#intro,"6,1,5,6"
Toby Fox,Stronger Monsters,Verse,http://www.hooktheory.com/theorytab/view/toby-fox/stronger-monsters#verse,"6,1,5,6"
Miley Cyrus,Wrecking Ball,Verse,http://www.hooktheory.com/theorytab/view/miley-cyrus/wrecking-ball#verse,"6,1,5,2"
Caught A Ghost,Time Go,Instrumental,http://www.hooktheory.com/theorytab/view/caught-a-ghost/time-go#instrumental,"6,1,5,2"
Franz Ferdinand,Matinee,Verse,http://www.hooktheory.com/theorytab/view/franz-ferdinand/matinee#verse,"6,1,5,2"
Metallica,Fade To Black,Verse,http://www.hooktheory.com/theorytab/view/metallica/fade-to-black#verse,"6,1,5,3"
Florence and the Machine,Rabbit Heart,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/florence-and-the-machine/rabbit-heart#pre-chorus-and-chorus,"6,1,5,27"
Five,Slam Dunk - Da Funk,Intro,http://www.hooktheory.com/theorytab/view/five/slam-dunk---da-funk#intro,"6,1,2,4"
Five,Slam Dunk - Da Funk,Instrumental,http://www.hooktheory.com/theorytab/view/five/slam-dunk---da-funk#instrumental,"6,1,2,4"
Pat Benatar,Invincible,Pre-Chorus,http://www.hooktheory.com/theorytab/view/pat-benatar/invincible#pre-chorus,"6,1,2,4"
Alex Clare,Too Close,Chorus,http://www.hooktheory.com/theorytab/view/alex-clare/too-close#chorus,"6,1,2,4"
Horimitsu Kazumichi,Come Here Daitarn 3,Intro and Verse,http://www.hooktheory.com/theorytab/view/horimitsu-kazumichi/come-here-daitarn-3#intro-and-verse,"6,1,2,4"
Oh Land,Helicopter,Chorus,http://www.hooktheory.com/theorytab/view/oh-land/helicopter#chorus,"6,1,2,4"
Pusha T - Rick Ross,Hold On,Intro,http://www.hooktheory.com/theorytab/view/pusha-t---rick-ross/hold-on#intro,"6,1,2,16"
Martin Garrix,Animals,Pre-Chorus,http://www.hooktheory.com/theorytab/view/martin-garrix/animals#pre-chorus,"6,1,3,1"
Delphic,This Momentary,Chorus,http://www.hooktheory.com/theorytab/view/delphic/this-momentary#chorus,"6,1,3,4"
Grouplove,Shark Attack,Pre-Outro,http://www.hooktheory.com/theorytab/view/grouplove/shark-attack#pre-outro,"6,1,3,4"
David Guetta,Titanium feat Sia,Verse,http://www.hooktheory.com/theorytab/view/david-guetta/titanium-feat-sia#verse,"6,1,3,6"
The Middle East,Blood,Chorus,http://www.hooktheory.com/theorytab/view/the-middle-east/blood#chorus,"6,1,27,4"
Lady Gaga,Til It Happens To You,Verse,http://www.hooktheory.com/theorytab/view/lady-gaga/til-it-happens-to-you#verse,"6,1,47,1"
NiR-Gerda,Rasen'nawatashi--My Spiral,Intro,http://www.hooktheory.com/theorytab/view/nir-gerda/rasennawatashi--my-spiral#intro,"6,1,47,5"
The Dumplings,How Many Knives,Verse,http://www.hooktheory.com/theorytab/view/the-dumplings/how-many-knives#verse,"6,1,47,3"
The Dumplings,How Many Knives,Chorus,http://www.hooktheory.com/theorytab/view/the-dumplings/how-many-knives#chorus,"6,1,47,3"
Nobuo Uematsu,Final Fantasy VI - Dancing Mad Part 1,Pre-Chorus,http://www.hooktheory.com/theorytab/view/nobuo-uematsu/final-fantasy-vi---dancing-mad-part-1#pre-chorus,"6,1,16,2"
Elton John,Can You Feel the Love Tonight,Chorus,http://www.hooktheory.com/theorytab/view/elton-john/can-you-feel-the-love-tonight#chorus,"6,4,1,4"
Bob Marley,No Woman No Cry,Chorus,http://www.hooktheory.com/theorytab/view/bob-marley/no-woman-no-cry#chorus,"6,4,1,4"
YB,Flying Butterfly,Intro and Verse,http://www.hooktheory.com/theorytab/view/yb/flying-butterfly#intro-and-verse,"6,4,1,4"
We the Kings,Stay Young,Verse,http://www.hooktheory.com/theorytab/view/we-the-kings/stay-young#verse,"6,4,1,4"
Gregory Alan Isakov,The Stable Song,Verse,http://www.hooktheory.com/theorytab/view/gregory-alan-isakov/the-stable-song#verse,"6,4,1,4"
The Darkness,Christmas Time - Don't Let The Bells End,Chorus,http://www.hooktheory.com/theorytab/view/the-darkness/christmas-time---dont-let-the-bells-end#chorus,"6,4,1,4"
Justin Bieber,Love Yourself,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/justin-bieber/love-yourself#pre-chorus-and-chorus,"6,4,1,4"
Schmoyoho,Zoolander the Musical,Chorus,http://www.hooktheory.com/theorytab/view/schmoyoho/zoolander-the-musical#chorus,"6,4,1,4"
Lindsey Stirling,Song of the Caged Bird,Chorus,http://www.hooktheory.com/theorytab/view/lindsey-stirling/song-of-the-caged-bird#chorus,"6,4,1,6"
Josh Groban,You Raise Me Up,Chorus,http://www.hooktheory.com/theorytab/view/josh-groban/you-raise-me-up#chorus,"6,4,1,6"
Cheryl Cole,Parachute,Chorus,http://www.hooktheory.com/theorytab/view/cheryl-cole/parachute#chorus,"6,4,1,5"
Train,Drive By,Verse,http://www.hooktheory.com/theorytab/view/train/drive-by#verse,"6,4,1,5"
Linkin Park,Numb,Intro,http://www.hooktheory.com/theorytab/view/linkin-park/numb#intro,"6,4,1,5"
OneRepublic,If I Lose Myself - Alesso Remix,Intro,http://www.hooktheory.com/theorytab/view/onerepublic/if-i-lose-myself---alesso-remix#intro,"6,4,1,2"
Wolfgang Gartner,Illmerica,Verse,http://www.hooktheory.com/theorytab/view/wolfgang-gartner/illmerica#verse,"6,4,1,2"
The Zombies,Hung Up On A Dream,Bridge,http://www.hooktheory.com/theorytab/view/the-zombies/hung-up-on-a-dream#bridge,"6,4,1,2"
Jimi Hendrix,Bold As Love,Verse,http://www.hooktheory.com/theorytab/view/jimi-hendrix/bold-as-love#verse,"6,4,1,2"
Infected Mushroom feat Kelsy Karter,Now is Gold,Intro and Verse,http://www.hooktheory.com/theorytab/view/infected-mushroom-feat-kelsy-karter/now-is-gold#intro-and-verse,"6,4,1,2"
Epic Sax Guy,Epic Sax Guy,Verse,http://www.hooktheory.com/theorytab/view/epic-sax-guy/epic-sax-guy#verse,"6,4,1,3"
Within Temptation,Iron,Chorus,http://www.hooktheory.com/theorytab/view/within-temptation/iron#chorus,"6,4,1,3"
DJ Antoine ft The Beat Shakers,Ma Cherie,Instrumental,http://www.hooktheory.com/theorytab/view/dj-antoine-ft-the-beat-shakers/ma-cherie#instrumental,"6,4,1,3"
Alesso,If It Wasn't For You,Chorus,http://www.hooktheory.com/theorytab/view/alesso/if-it-wasnt-for-you#chorus,"6,4,1,3"
Notessimo,Acceleration of the Unhurried,Chorus,http://www.hooktheory.com/theorytab/view/notessimo/acceleration-of-the-unhurried#chorus,"6,4,1,16"
